Season,Locations,Env,Variety,Population,RM,Final Plant Acres,Repetition,REND,Yield
2011-12,Casilda,11,DM 4612,35,Medium 4,140000,II,3966,59.2
2011-12,Casilda,11,DM 4712,45,Medium 4,180000,II,3491,52.1
2011-12,Casilda,11,DM 4612,45,Medium 4,180000,II,3266,48.7
2011-12,Casilda,11,DM 4612,25,Medium 4,100000,II,3499,52.2
2011-12,Casilda,11,DM 4712,25,Medium 4,100000,II,3181,47.5
2011-12,Casilda,11,DM 4712,15,Medium 4,60000,II,3103,46.3
2011-12,Casilda,11,DM 3810,45,Late 3,180000,II,2972,44.4
2011-12,Casilda,11,DM 4612,15,Medium 4,60000,II,2955,44.1
2011-12,Casilda,11,DM 3810,35,Late 3,140000,II,2972,44.4
2011-12,Casilda,11,DM 3810,25,Late 3,100000,II,2425,36.2
2011-12,Casilda,11,DM 3810,15,Late 3,60000,II,2659,39.7
2011-12,Casilda,11,DM 4712,35,Medium 4,140000,III,3957,59.1
2011-12,Casilda,11,DM 4612,35,Medium 4,140000,III,3772,56.3
2011-12,Casilda,11,DM 4712,45,Medium 4,180000,III,3608,53.9
2011-12,Casilda,11,DM 4612,45,Medium 4,180000,III,3499,52.2
2011-12,Casilda,11,DM 4612,25,Medium 4,100000,III,3461,51.7
2011-12,Casilda,11,DM 4712,25,Medium 4,100000,III,3336,49.8
2011-12,Casilda,11,DM 4712,15,Medium 4,60000,III,3220,48.1
2011-12,Casilda,11,DM 3810,45,Late 3,180000,III,3207,47.9
2011-12,Casilda,11,DM 4612,15,Medium 4,60000,III,3033,45.3
2011-12,Casilda,11,DM 3810,35,Late 3,140000,III,2972,44.4
2011-12,Casilda,11,DM 3810,25,Late 3,100000,III,2620,39.1
2011-12,Casilda,11,DM 3810,15,Late 3,60000,III,2620,39.1
2011-2012,Chacabuco,12,DM 3810,15,Late 3,60000,I,6131,91.5
2011-2012,Chacabuco,12,DM 3810,25,Late 3,100000,I,6527,97.4
2011-2012,Chacabuco,12,DM 3810,35,Late 3,140000,I,6041,90.2
2011-2012,Chacabuco,12,DM 3810,45,Late 3,180000,I,6182,92.3
2011-2012,Chacabuco,12,DM 4612,15,Medium 4,60000,I,6210,92.7
2011-2012,Chacabuco,12,DM 4612,25,Medium 4,100000,I,6350,94.8
2011-2012,Chacabuco,12,DM 4612,35,Medium 4,140000,I,6017,89.8
2011-2012,Chacabuco,12,DM 4612,45,Medium 4,180000,I,6201,92.5
2011-2012,Chacabuco,12,DM 4712,15,Medium 4,60000,I,5798,86.5
2011-2012,Chacabuco,12,DM 4712,25,Medium 4,100000,I,6350,94.8
2011-2012,Chacabuco,12,DM 4712,35,Medium 4,140000,I,5880,87.8
2011-2012,Chacabuco,12,DM 4712,45,Medium 4,180000,I,6600,98.5
2011-2012,Chacabuco,12,DM 3810,15,Late 3,60000,II,6204,92.6
2011-2012,Chacabuco,12,DM 3810,25,Late 3,100000,II,6380,95.2
2011-2012,Chacabuco,12,DM 3810,35,Late 3,140000,II,6115,91.3
2011-2012,Chacabuco,12,DM 3810,45,Late 3,180000,II,6550,97.8
2011-2012,Chacabuco,12,DM 4612,15,Medium 4,60000,II,6137,91.6
2011-2012,Chacabuco,12,DM 4612,25,Medium 4,100000,II,6649,99.2
2011-2012,Chacabuco,12,DM 4612,35,Medium 4,140000,II,6091,90.9
2011-2012,Chacabuco,12,DM 4612,45,Medium 4,180000,II,6425,95.9
2011-2012,Chacabuco,12,DM 4712,15,Medium 4,60000,II,5943,88.7
2011-2012,Chacabuco,12,DM 4712,25,Medium 4,100000,II,6277,93.7
2011-2012,Chacabuco,12,DM 4712,35,Medium 4,140000,II,6174,92.2
2011-2012,Chacabuco,12,DM 4712,45,Medium 4,180000,II,6527,97.4
2011-2012,Chacabuco,12,DM 3810,15,Late 3,60000,III,6131,91.5
2011-2012,Chacabuco,12,DM 3810,25,Late 3,100000,III,6527,97.4
2011-2012,Chacabuco,12,DM 3810,35,Late 3,140000,III,6484,96.8
2011-2012,Chacabuco,12,DM 3810,45,Late 3,180000,III,6697,100
2011-2012,Chacabuco,12,DM 4612,15,Medium 4,60000,III,6210,92.7
2011-2012,Chacabuco,12,DM 4612,25,Medium 4,100000,III,6051,90.3
2011-2012,Chacabuco,12,DM 4612,35,Medium 4,140000,III,5719,85.4
2011-2012,Chacabuco,12,DM 4612,45,Medium 4,180000,III,6350,94.8
2011-2012,Chacabuco,12,DM 4712,15,Medium 4,60000,III,5508,82.2
2011-2012,Chacabuco,12,DM 4712,25,Medium 4,100000,III,6788,101.3
2011-2012,Chacabuco,12,DM 4712,35,Medium 4,140000,III,6321,94.3
2011-2012,Chacabuco,12,DM 4712,45,Medium 4,180000,III,6600,98.5
